retriever,condition,num_questions,top_k,avg_retrieval_time_sec,avg_recall_at_k,avg_mrr,avg_retrieval_diversity,avg_faithfulness_nli,error_count,status
colbertv2,none,500,5,0.0,0.861,0.9861333333333333,0.6353329545259476,0.5938501209022943,0,OK
colbertv2,mmr_0.0,500,5,0.0,0.515,0.982,0.735993649482727,0.42760672414302825,0,OK
colbertv2,mmr_0.25,500,5,0.0,0.719,0.9857333333333334,0.7156428447961807,0.5458458298435435,0,OK
colbertv2,mmr_0.5,500,5,0.0,0.831,0.9856333333333333,0.6743876904845237,0.589204151998274,0,OK
colbertv2,mmr_0.75,500,5,0.0,0.857,0.9862000000000001,0.6482608766555786,0.5681321396376007,0,OK
colbertv2,mmr_1.0,500,5,0.041719184153609805,0.861,0.9861333333333333,0.6353329545259476,0.5907768071832834,0,OK
