retriever,num_questions,top_k,index_time_sec,avg_retrieval_time_sec,avg_recall_at_k,avg_mrr,status,error,avg_em,avg_f1,avg_rouge_l
bm25,1000,5,0.04976844787597656,0.015273815631866455,0.5992107142857143,0.9115166666666666,OK,,0.0,0.2244718900199274,0.15123604230716242
dpr,1000,5,0.02715897560119629,0.019814962148666383,0.26787976190476187,0.47459999999999997,OK,,0.0,0.16839939162259585,0.11559956942496105
contriever,1000,5,0.1311664581298828,0.12037570595741272,0.6056,0.9527333333333333,OK,,0.0,0.23043489760193164,0.15457471190990754
colbertv2,1000,5,7.8291895389556885,0.04031775140762329,0.7505857142857142,0.97945,OK,,0.0,0.2335895613403798,0.15427586329298154
