retriever,sprint1_dataset,sprint1_recall_at_5,sprint2_dataset,sprint2_recall_at_5,recall_delta,note
bm25,PubMedQA,0.5992,BEIR HotpotQA,0.667,0.0678,"Sprint 1 is the project baseline for cross-dataset retriever performance. NOT used as baseline for the diversity-tradeoff table (no diversity metric exists for PubMedQA). DPR shows the largest jump (+0.38), consistent with DPR being NQ-trained and better domain-matched to open-domain HotpotQA than to biomedical PubMedQA."
dpr,PubMedQA,0.2679,BEIR HotpotQA,0.648,0.3801,"Sprint 1 is the project baseline for cross-dataset retriever performance. NOT used as baseline for the diversity-tradeoff table (no diversity metric exists for PubMedQA). DPR shows the largest jump (+0.38), consistent with DPR being NQ-trained and better domain-matched to open-domain HotpotQA than to biomedical PubMedQA."
contriever,PubMedQA,0.6056,BEIR HotpotQA,0.725,0.1194,"Sprint 1 is the project baseline for cross-dataset retriever performance. NOT used as baseline for the diversity-tradeoff table (no diversity metric exists for PubMedQA). DPR shows the largest jump (+0.38), consistent with DPR being NQ-trained and better domain-matched to open-domain HotpotQA than to biomedical PubMedQA."
colbertv2,PubMedQA,0.7506,BEIR HotpotQA,0.861,0.1104,"Sprint 1 is the project baseline for cross-dataset retriever performance. NOT used as baseline for the diversity-tradeoff table (no diversity metric exists for PubMedQA). DPR shows the largest jump (+0.38), consistent with DPR being NQ-trained and better domain-matched to open-domain HotpotQA than to biomedical PubMedQA."
