retrieval_rank,retriever,retriever_display_name,is_best_retriever,best_retriever_for_experiment,best_retrieval_column,num_questions,completed_questions_safe,top_k,avg_recall_at_k,avg_mrr,avg_em,avg_f1,avg_rouge_l,estimated_index_time_sec_cached,estimated_avg_retrieval_time_sec,estimated_total_retrieval_time_sec,time_source,generation_time_note,fixed_generator_provider,fixed_llm_model,fixed_temperature,fixed_max_tokens,fixed_top_k,fixed_dataset,fixed_prompt_template,experiment_type,status,error,selection_reason,evaluation_warning,index_time_sec,avg_retrieval_time_sec
1,colbertv2,ColBERTv2,True,colbertv2,BEST_RETRIEVER,1000,1000,5,0.7505857142857142,0.97945,0.0,0.2335895613403798,0.1542758632929815,5.12,0.035,35.0,estimated_from_completed_run_logs,LLM generation time was not separately logged per row unless raw files contain generation_time_sec.,Mannheim Maki OpenAI-compatible API,ministral-3-14b,0.0,512,5,PubMedQA-derived project corpus,Same RAG prompt template used for all retrievers,Baseline RAG without diversification,OK,,Selected as best retriever because it achieved the highest Recall@5 and MRR under the fixed-generator setup.,"Exact Match is unsuitable for long-form generated medical answers. Recall@5 and MRR are the main retrieval metrics. F1 and ROUGE-L are weak lexical generation indicators. Future work should add faithfulness, hallucination, coverage, and retrieval diversity metrics.",7.829189538955688,0.0403177514076232
2,contriever,Contriever,False,colbertv2,NOT_BEST_RETRIEVER,1000,1000,5,0.6056,0.9527333333333332,0.0,0.2304348976019316,0.1545747119099075,0.1,0.119,119.0,estimated_from_completed_run_logs,LLM generation time was not separately logged per row unless raw files contain generation_time_sec.,Mannheim Maki OpenAI-compatible API,ministral-3-14b,0.0,512,5,PubMedQA-derived project corpus,Same RAG prompt template used for all retrievers,Baseline RAG without diversification,OK,,Not selected because another retriever achieved stronger retrieval performance under the same fixed-generator setup.,"Exact Match is unsuitable for long-form generated medical answers. Recall@5 and MRR are the main retrieval metrics. F1 and ROUGE-L are weak lexical generation indicators. Future work should add faithfulness, hallucination, coverage, and retrieval diversity metrics.",0.1311664581298828,0.1203757059574127
3,bm25,BM25,False,colbertv2,NOT_BEST_RETRIEVER,1000,1000,5,0.5992107142857143,0.9115166666666666,0.0,0.2244718900199274,0.1512360423071624,0.05,0.014,14.0,estimated_from_completed_run_logs,LLM generation time was not separately logged per row unless raw files contain generation_time_sec.,Mannheim Maki OpenAI-compatible API,ministral-3-14b,0.0,512,5,PubMedQA-derived project corpus,Same RAG prompt template used for all retrievers,Baseline RAG without diversification,OK,,Not selected because another retriever achieved stronger retrieval performance under the same fixed-generator setup.,"Exact Match is unsuitable for long-form generated medical answers. Recall@5 and MRR are the main retrieval metrics. F1 and ROUGE-L are weak lexical generation indicators. Future work should add faithfulness, hallucination, coverage, and retrieval diversity metrics.",0.0497684478759765,0.0152738156318664
4,dpr,Original DPR,False,colbertv2,NOT_BEST_RETRIEVER,1000,1000,5,0.2678797619047618,0.4745999999999999,0.0,0.1683993916225958,0.115599569424961,0.02,0.016,16.0,estimated_from_completed_run_logs,LLM generation time was not separately logged per row unless raw files contain generation_time_sec.,Mannheim Maki OpenAI-compatible API,ministral-3-14b,0.0,512,5,PubMedQA-derived project corpus,Same RAG prompt template used for all retrievers,Baseline RAG without diversification,OK,,Not selected because another retriever achieved stronger retrieval performance under the same fixed-generator setup.,"Exact Match is unsuitable for long-form generated medical answers. Recall@5 and MRR are the main retrieval metrics. F1 and ROUGE-L are weak lexical generation indicators. Future work should add faithfulness, hallucination, coverage, and retrieval diversity metrics.",0.0271589756011962,0.0198149621486663
